year,regional_schlüssel,kreis_city,eligblvotrs,votrpart,vldsecndvotrs,CDU/CSU ,SPD,GRÜNE,FDP ,DIE LINKE,AfD,Sonstige Parteien
2017,5954024,        Schwelm,21123,74.4,15603,4617,4240,1094,2209,1230,1621,592
2017,5954028,        Sprockhövel,20478,82.6,16794,5118,4586,1238,2735,1107,1458,552
2017,5954032,        Wetter (Ruhr),21173,77.1,16198,4495,4974,1338,2089,1192,1504,606
2017,59540036036,        Witten,74260,74.8,55054,13859,17004,4809,6094,5077,5528,2683
2017,5958,      Hochsauerlandkreis,202768,76,152814,63651,34865,7198,21919,8183,12216,4782
2017,59580004004,        Arnsberg,56993,73.1,41344,14775,10830,2284,5821,2724,3617,1293
2017,5958008,        Bestwig,7959,76.4,6029,2462,1607,221,764,314,412,249
2017,5958012,        Brilon,20272,75.6,15188,6253,3493,573,2027,898,1459,485
2017,5958016,        Eslohe (Sauerland),6854,79.8,5436,2845,953,174,869,196,262,137
2017,5958020,        Hallenberg,3452,79.1,2700,1328,419,92,473,101,200,87
2017,5958024,        Marsberg,15687,76.2,11833,4492,3179,566,1360,727,1175,334
2017,5958028,        Medebach,6116,77.6,4705,2492,656,144,689,163,335,226
2017,5958032,        Meschede,22664,76.3,17178,7182,3930,912,2411,890,1252,601
2017,5958036,        Olsberg,11583,76.4,8779,3912,1902,383,1190,408,714,270
2017,5958040,        Schmallenberg,19523,79.1,15358,7600,2804,770,2361,595,865,363
2017,5958044,        Sundern (Sauerland),21268,76.7,16181,6695,3485,785,2614,805,1355,442
2017,5958048,        Winterberg,10397,78.4,8083,3615,1607,294,1340,362,570,295
